product,category,hist_n,hist_cv,used_model,fallback_mode,residual_std,disable_stabilization,disable_clamping,noise_injection,direct_mode,features_count,time_steps
rak sepatu sr 03,Rak Sepatu,3,0.2828425427690933,False,simple_random_walk,,,,,,,
ranjang single sb 02,Tempat Tidur,2,0.19999998000000202,True,,2.0,False,False,True,True,18.0,1.0
sofa bench sb 202,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
sofa bench sb 203,Sofa Series,3,1.221366091863206,False,simple_random_walk,,,,,,,
sofa bench sb 204,Sofa Series,3,0.22329686886746264,False,simple_random_walk,,,,,,,
sofa ll 529 elc,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
sofa sf 102 1 s,Sofa Series,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
sofa sf 105 1 s,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
sofa sf 105 2 s,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
sofa sf 108 1 s,Sofa Series,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
sofa sf 109 3 s,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
sofa sf 113 1 s,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
sofa sf 113 2 s,Sofa Series,2,0.0,True,,0.0,False,False,True,True,18.0,1.0
sofa sf 113 3 s,Sofa Series,1,0.0,False,simple_random_walk,,,,,,,
tempat sampah ts 01,Tempat Sampah,1,0.0,False,simple_random_walk,,,,,,,
tempat tidur tt uks,Tempat Tidur,3,0.8070964772822221,True,,16.67999467092907,False,False,True,True,18.0,2.0
tiang bendera fg 01,Tiang Bendera,3,0.16617282563818933,False,simple_random_walk,,,,,,,
